,customer_lifetime_value,effective_to_date,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
61,8110.333139,2011-01-22,11489,105,4,50,0,6,504.0
62,3339.764873,2011-01-15,0,94,20,53,0,1,863.327324
63,24261.01777,2011-01-27,66525,100,0,86,0,2,104.331355
64,6613.973653,2011-01-23,0,63,21,28,0,2,676.391482
65,2930.693543,2011-01-31,33663,73,29,71,0,1,350.4
66,8672.194272,2011-01-26,22547,112,7,60,0,3,537.6
67,11638.669259999999,2011-01-10,61486,97,5,65,0,2,465.25864400000006
68,6846.150323000001,2011-01-27,0,95,13,20,0,5,456.0
69,11727.77648,2011-01-09,29879,102,17,0,0,2,500.25423499999994
70,22643.83478,2011-02-24,93011,113,17,12,0,2,281.451042
71,2614.474305,2011-02-11,65186,65,29,27,0,1,5.434505000000001
72,2451.752695,2011-02-12,26840,64,1,47,2,1,307.2
73,6781.270203,2011-02-04,0,104,30,3,1,5,982.399613
74,4974.801539,2011-01-18,75644,65,5,68,3,9,467.803638
75,8591.604933,2011-02-11,38984,73,27,38,0,2,350.4
76,5592.161392,2011-02-01,71811,71,17,48,0,6,29.034159999999996
77,8009.472833,2011-02-15,20961,67,20,33,0,2,321.6
78,11318.089820000001,2011-02-06,38923,99,6,83,2,2,115.728852
79,58166.553510000005,2011-02-27,61321,186,0,30,1,2,427.63120999999995
80,8025.229358,2011-01-26,0,77,20,26,0,2,25.807685
81,5780.182197,2011-02-26,51066,74,23,0,0,8,787.993313
82,4118.539113,2011-01-27,34378,102,12,54,0,1,489.6
83,2523.07015,2011-01-16,43072,63,35,15,0,1,302.4
84,6554.216396,2011-01-27,25222,90,28,69,0,3,475.623251
85,7703.397293999999,2011-02-28,36765,66,15,32,1,2,320.84907200000004
86,5926.729379,2011-01-25,23091,96,28,90,5,5,460.8
87,2683.470677,2011-01-01,48269,69,3,79,3,1,282.151207
88,2695.182419,2011-02-01,32720,67,13,12,0,1,321.6
89,6047.02516,2011-02-19,20396,76,15,60,1,4,364.8
90,13171.01282,2011-01-27,21513,119,21,81,1,2,679.827592
91,10656.88195,2011-02-27,72540,88,7,3,0,2,631.743039
92,2527.653796,2011-01-17,80744,63,24,84,0,1,11.879037
93,2672.0957559999997,2011-02-10,52822,67,23,88,0,1,350.529033
94,5313.294035,2011-01-24,0,77,8,10,1,9,863.3947
95,20946.19251,2011-02-24,69738,74,2,26,1,2,492.12753200000003
96,8375.353929,2011-02-15,17780,109,12,18,0,9,132.58828799999998
97,4801.661503,2011-02-16,18107,62,29,11,0,8,297.6
98,5745.94334,2011-01-22,57740,74,30,87,3,9,269.905129
99,6066.1159689999995,2011-02-25,32627,76,11,60,0,7,380.036697
100,8002.308333,2011-01-11,0,107,3,65,0,3,513.6
101,2393.9153690000003,2011-01-31,0,70,24,10,0,1,425.266308
102,4762.8179,2011-01-12,65795,62,2,85,1,3,49.011099
103,4330.38602,2011-02-16,60475,107,9,18,0,1,513.6
104,9402.729769,2011-02-09,0,130,28,88,0,4,936.0
105,6966.694527,2011-01-19,41837,88,29,93,0,9,142.062768
106,7694.064293,2011-01-04,32303,65,13,34,0,2,45.152521
107,8717.561149,2011-01-09,0,117,5,89,1,3,561.6
108,5928.748528,2011-01-27,40531,74,17,32,0,9,30.567357
109,2452.977288,2011-02-14,79898,62,5,86,1,1,271.606799
110,6701.571657,2011-02-27,56398,85,4,18,0,7,408.0
111,7556.24034,2011-02-12,35257,98,16,2,1,8,470.4
112,8492.6988,2011-02-26,27804,109,19,54,0,7,784.8
113,7713.494046,2011-02-20,45506,66,16,32,2,2,316.8
114,24084.5352,2011-02-02,65196,67,0,54,0,2,396.08203599999996
115,7290.069769,2011-02-15,0,102,11,70,1,3,489.6
116,4772.943848,2011-02-18,20993,133,35,90,0,1,638.4
117,6806.491395,2011-01-21,37839,86,35,77,0,9,465.633954
118,2469.781334,2011-01-15,92711,62,24,10,0,1,368.400146
119,3103.923041,2011-02-05,74665,78,10,90,2,1,236.90200099999998
120,2981.875575,2011-02-24,0,83,26,89,0,1,582.679087
121,8902.737595,2011-01-05,46833,112,6,3,0,9,64.109663
122,5499.447223,2011-01-28,88768,68,17,77,0,7,326.4
123,15023.598580000002,2011-01-12,28262,192,9,77,0,3,921.6
124,2509.107875,2011-02-16,33555,63,17,11,0,1,101.89645
125,31221.7481,2011-01-03,42780,113,10,27,1,2,542.4
126,3133.503432,2011-02-07,58850,78,20,26,0,1,143.747794
127,3837.4518630000002,2011-01-13,21880,97,29,37,0,1,424.077159
128,11790.49617,2011-01-03,25251,66,13,43,0,2,316.8
129,7838.068321,2011-02-17,0,69,9,12,0,2,2.704934
130,4305.808345,2011-01-21,24188,109,14,82,0,1,523.2
131,5973.976904,2011-01-26,41611,74,14,8,0,8,113.801497
132,5670.442396,2011-01-31,28406,72,16,35,1,4,192.87572
133,4731.7493460000005,2011-01-02,69833,118,32,99,0,1,828.662719
134,8026.3796409999995,2011-02-07,0,74,15,91,0,2,532.8
135,4022.963529,2011-01-26,0,117,6,1,0,1,975.1070980000001
136,9618.310865000001,2011-01-11,80536,119,5,83,0,3,53.798708
137,2274.775451,2011-01-15,0,63,2,5,0,1,606.6424519999999
138,9552.926922,2011-02-08,97732,79,0,70,0,2,289.9122
139,10388.55323,2011-01-11,61222,89,20,55,0,2,392.604371
140,2470.1212219999998,2011-01-09,0,74,7,20,0,1,721.242206
141,5619.068507999999,2011-02-04,50335,140,9,54,0,1,456.52385
142,9047.119209,2011-01-21,0,127,30,11,0,6,1087.995426
143,6692.143668,2011-02-16,63221,168,28,49,0,1,806.4
144,3731.5045840000002,2011-02-24,0,96,31,34,0,1,460.8
145,3660.770258,2011-01-18,64495,92,34,30,0,1,251.992083
146,7928.8292519999995,2011-01-30,0,72,7,75,0,2,345.6
147,5011.751577,2011-01-09,28859,67,24,51,3,4,321.6
148,7988.258292,2011-02-01,77330,99,0,21,0,3,99.25760799999999
149,3885.456401,2011-02-28,0,105,3,92,0,1,504.0
150,2659.337982,2011-01-31,24495,70,29,65,0,1,336.0
151,8564.768226,2011-02-17,95697,107,29,29,0,9,178.006524
152,4885.1625109999995,2011-02-12,26372,126,11,7,0,1,604.8
153,9753.307106,2011-02-24,17514,127,2,5,0,3,8.312729
154,2946.1536969999997,2011-02-01,89270,74,17,90,0,1,316.599228
155,2581.110945,2011-02-06,29757,65,13,55,0,1,312.0
156,3517.385764,2011-01-23,51814,92,28,89,0,1,56.300724
157,9743.350113,2011-01-21,24028,82,14,27,0,2,393.6
158,3873.647046,2011-01-20,28142,105,18,50,0,1,701.7082389999999
159,7649.28199,2011-01-06,52705,64,14,8,1,2,128.70556299999998
160,2287.59692,2011-02-22,0,63,1,5,0,1,679.368378
161,4475.424592,2011-02-27,84903,111,7,63,0,1,497.12682699999993
162,8714.922134999999,2011-02-21,0,118,14,64,0,4,566.4
163,2248.4496329999997,2011-01-29,24910,63,7,63,1,1,347.857619
164,7416.197322,2011-02-22,0,77,15,12,2,2,554.4
165,7771.1589730000005,2011-02-21,21876,68,12,28,0,2,465.41477000000003
166,6968.3419,2011-01-10,0,69,33,61,1,2,496.8
167,4250.282624,2011-01-18,0,61,17,1,1,7,292.8
168,19776.56654,2011-01-16,70699,82,1,57,0,2,256.81383700000004
169,21343.46599,2011-01-06,0,74,11,85,1,2,355.2
170,2413.139714,2011-01-27,27501,63,20,0,0,1,542.319401
171,15363.84716,2011-01-15,15897,101,30,99,0,2,303.14839900000004
172,8456.961887000001,2011-01-09,25141,73,12,4,1,2,25.438063
173,2189.642522,2011-01-28,0,61,5,46,3,1,292.8
174,5780.182197,2011-02-26,51066,74,23,0,0,8,787.993313
175,4639.981638,2011-01-04,28358,117,24,37,0,1,84.024413
176,4465.335703,2011-02-01,61846,112,1,48,0,1,215.8182
177,5968.118877,2011-01-27,90972,74,3,47,0,8,232.92614500000002
178,5097.763336999999,2011-02-14,0,74,3,95,0,7,532.8
179,4076.634665,2011-01-23,29549,104,17,51,0,1,710.433775
180,12252.60179,2011-02-18,0,115,12,17,1,2,552.0
181,16936.27147,2011-01-24,39411,217,4,29,2,4,1122.658899
182,4892.435461,2011-02-18,21709,62,28,17,0,3,408.374746
183,9942.304791,2011-01-19,67890,85,23,57,0,2,408.0
184,3735.8381289999998,2011-01-04,0,110,3,16,0,1,792.0
185,13117.52215,2011-02-07,84311,111,11,98,4,2,532.8
186,4574.524093999999,2011-01-30,99316,114,26,53,0,1,754.358929
187,5470.060561,2011-02-17,54507,138,20,11,0,1,702.990032
188,2978.84601,2011-01-13,64586,76,3,17,0,1,206.83711100000002
189,6410.967544,2011-02-08,61709,82,5,41,2,7,275.395894
190,4479.023088,2011-01-29,94656,111,12,79,1,1,459.738128
191,2383.731879,2011-02-05,0,69,5,40,0,1,496.8
192,2764.493659,2011-01-20,61085,70,27,34,1,1,336.0
193,7920.105377,2011-01-27,89284,67,7,31,3,2,321.6
194,6889.097981,2011-01-09,0,63,6,12,0,2,302.4
195,3274.194616,2011-01-11,31686,81,11,33,0,1,430.99410700000004
196,9951.707743,2011-02-17,56855,255,12,1,0,1,1836.0
197,2521.555686,2011-02-16,53703,67,3,45,2,1,67.632476
198,23706.11337,2011-02-10,0,96,12,35,1,2,844.481918
199,6047.02516,2011-02-19,20396,76,15,60,1,4,364.8
200,11140.30248,2011-01-21,27679,150,30,28,0,3,722.4869940000001
201,4334.064096,2011-02-27,23904,123,1,67,3,1,590.4
202,2799.74791,2011-02-04,65351,69,4,54,0,1,481.027516
203,7923.136624,2011-01-18,0,113,20,1,0,7,1124.4277339999999
204,3688.110888,2011-02-03,0,63,0,54,3,7,669.682001
205,12067.45599,2011-01-02,0,116,14,35,0,2,1284.093173
206,2924.976721,2011-01-09,64459,72,16,64,0,1,240.259479
207,15014.0927,2011-01-19,32961,190,13,53,0,3,912.0
208,9277.233839,2011-01-11,71416,116,10,0,0,3,556.8
209,6274.123875,2011-01-31,68964,78,15,6,0,3,115.086827
210,3886.647414,2011-01-11,78108,98,12,34,0,1,470.4
211,4386.277558,2011-02-11,10621,67,28,22,0,5,321.6
212,11365.26766,2011-01-22,84910,95,4,69,0,2,383.167471
213,5610.9643399999995,2011-02-24,77493,70,2,35,0,3,307.963291
214,2912.8920350000003,2011-02-28,81097,74,7,67,0,1,355.2
215,6915.729915000001,2011-01-25,96610,85,6,23,0,3,520.364752
216,6262.663307,2011-02-26,30110,159,20,71,0,1,466.436375
217,6503.397049,2011-02-19,22081,84,1,9,0,6,451.670309
218,8007.399376,2011-01-02,0,112,12,93,0,3,537.6
219,2929.9165120000002,2011-01-02,98473,72,19,69,0,1,345.6
220,5969.552970000001,2011-01-26,97431,74,1,72,0,3,355.2
221,5473.15987,2011-02-02,93870,69,1,96,0,8,331.2
222,5645.396665,2011-02-27,50366,72,9,5,0,9,428.734656
223,6369.262355,2011-01-20,34498,83,30,72,0,7,398.4
224,11833.76732,2011-01-17,16552,103,23,53,0,2,494.4
225,6121.107929,2011-01-17,26787,77,7,50,0,5,369.6
226,5159.369746,2011-02-24,0,74,2,42,0,9,831.752839
227,2514.59196,2011-02-14,43860,65,15,58,0,1,156.124914
228,8668.611261,2011-02-20,21474,114,13,72,2,9,373.42818700000004
229,4960.965384,2011-02-19,18174,66,8,16,0,9,395.934815
230,5504.1390329999995,2011-02-08,0,73,18,45,0,5,350.4
231,7507.455371999999,2011-02-06,60920,64,10,61,0,2,231.20188599999997
232,32269.851389999996,2011-02-27,41520,90,18,70,0,2,289.90410499999996
233,5657.031588,2011-02-01,0,152,12,89,0,1,729.6
234,5061.757902,2011-02-23,0,68,19,16,0,8,326.4
235,5912.783829,2011-01-11,72208,73,3,84,0,8,350.4
236,15182.27975,2011-02-10,53863,63,12,30,0,2,105.765111
237,10747.03094,2011-02-25,66446,136,8,77,0,3,639.464548
238,2050.623512,2011-02-16,0,61,18,26,0,1,292.8
239,2465.444865,2011-01-30,64997,63,7,99,1,1,383.442328
240,5343.121327000001,2011-02-11,64460,66,18,42,0,3,316.8
241,8119.829070999999,2011-01-14,46618,67,22,77,0,2,99.085943
242,4605.265164,2011-02-14,0,64,13,64,0,4,307.2
243,6408.785577000001,2011-02-03,49988,84,6,37,5,5,566.935022
244,2376.533508,2011-01-31,0,91,2,8,5,1,436.8
245,3211.070017,2011-02-15,16269,86,6,84,0,1,412.8
246,5094.5222619999995,2011-02-27,72006,64,4,38,0,3,307.2
247,25755.278169999998,2011-01-21,0,81,3,60,2,2,388.8
248,8672.229718999999,2011-01-14,0,245,34,83,0,1,2345.413441
249,8044.7307200000005,2011-01-25,44320,67,13,79,0,2,321.6
250,4001.5190979999998,2011-02-02,19782,108,13,66,0,1,773.470977
251,16706.116990000002,2011-02-09,63933,70,35,98,0,2,424.88344800000004
252,8544.411076999999,2011-02-28,28224,109,13,13,0,8,523.2
253,7805.312870000001,2011-01-27,21073,106,25,54,1,3,508.8
254,6112.756868,2011-02-19,63243,77,21,73,0,3,364.240307
255,4772.943848,2011-02-18,20993,133,35,90,0,1,638.4
256,10979.09559,2011-02-14,94827,135,5,64,0,4,354.729129
257,5004.263818,2011-01-30,39161,63,18,83,1,4,283.995953
258,13223.04379,2011-02-09,37534,84,2,0,2,2,403.2
259,2623.31543,2011-02-06,80210,65,30,28,0,1,20.543176000000003
260,17840.19555,2011-02-23,0,62,32,59,0,2,385.115437
261,5106.111827000001,2011-02-22,30110,64,2,4,0,5,140.16503500000002
262,17930.60451,2011-01-16,21708,68,28,77,0,2,326.4
263,5457.3425689999995,2011-02-02,94731,67,23,65,0,4,321.6
264,6563.6441429999995,2011-02-22,32375,83,17,83,0,6,398.4
265,4812.525221,2011-01-03,16531,63,0,40,0,4,102.879769
266,29328.04185,2011-02-27,32006,94,28,7,0,2,56.868289000000004
267,5773.520711,2011-02-15,81676,72,21,86,0,8,463.15850199999994
268,6847.1189,2011-01-11,71038,86,15,56,0,3,205.444066
269,3595.31286,2011-01-21,0,103,20,43,0,1,741.6
270,22855.612090000002,2011-01-26,20832,65,8,32,0,2,56.371967000000005
271,7859.414569,2011-01-01,0,113,19,10,0,7,813.6
272,4115.577437,2011-02-23,52405,103,2,27,0,1,494.4
273,5029.638777,2011-02-04,0,133,3,89,0,1,795.864079
274,4821.418454,2011-02-06,26583,128,6,46,4,1,614.4
275,5004.310469,2011-02-10,25486,65,15,53,0,3,72.438681
276,8630.053943,2011-01-02,24065,111,30,1,0,5,532.8
277,9322.08512,2011-02-10,70435,116,0,50,0,4,67.881546
278,16727.56063,2011-01-19,0,76,33,36,2,2,402.636829
279,3652.532435,2011-02-23,39679,92,2,85,0,1,641.3886160000001
280,6158.601171,2011-01-07,0,89,13,45,0,5,342.481173
281,4376.083958,2011-01-14,0,69,21,70,4,3,331.2
282,5569.456156,2011-02-15,53565,71,27,34,1,6,340.8
283,2576.5130059999997,2011-02-24,37574,66,19,14,1,1,412.10193300000003
284,8346.983232999999,2011-02-02,48259,108,14,79,0,3,73.70057299999999
285,6323.923864,2011-01-07,78532,78,25,87,0,3,374.4
286,5973.14343,2011-02-28,96163,73,23,90,0,3,350.4
287,4706.676993,2011-02-17,0,72,0,86,0,7,345.6
288,8093.410258,2011-02-12,0,114,9,72,1,5,722.024742
289,5035.744643,2011-01-09,72672,63,7,39,0,5,259.361117
290,9027.867218000001,2011-01-10,99002,112,33,75,1,8,537.6
291,7288.884848999999,2011-01-08,79494,91,19,30,0,3,396.295614
292,18042.47942,2011-01-25,35704,225,21,35,0,8,358.281562
293,4992.063043,2011-01-27,0,71,6,5,0,3,653.388564
294,9102.267849,2011-01-12,26049,118,17,6,0,6,121.032372
295,2540.4077260000004,2011-01-16,70125,64,21,77,0,1,92.813396
296,12941.89193,2011-01-22,52369,110,34,49,1,2,528.0
297,2365.348601,2011-01-13,0,66,25,51,2,1,159.636956
298,5720.765064,2011-02-11,41770,72,0,60,0,9,476.15695700000003
299,7035.534087999999,2011-01-04,0,101,16,88,0,8,727.2
300,2636.97773,2011-01-29,31911,67,33,27,0,1,321.6
301,5395.831967,2011-02-28,70051,68,15,69,0,8,42.078345
302,8382.630118000001,2011-02-04,19683,117,17,41,1,9,561.6
303,31161.74523,2011-02-02,30916,112,7,65,0,2,200.11606
304,2887.7422579999998,2011-01-03,0,80,24,95,0,1,676.944023
305,8714.922134999999,2011-02-21,0,118,14,64,0,4,566.4
306,25585.72783,2011-02-01,0,116,0,45,0,2,830.623064
307,10272.6082,2011-01-01,60145,132,8,28,0,3,580.473259
308,4376.363592000001,2011-02-28,63774,111,18,63,0,1,60.036683
309,5318.89664,2011-01-12,25134,67,3,0,0,6,321.6
310,4719.762191,2011-02-13,37057,61,5,48,1,6,47.531009999999995
311,4428.031583,2011-01-29,58577,110,6,62,0,1,303.872752
312,5879.176092000001,2011-02-13,85857,73,3,19,0,6,100.620067
313,9416.908485,2011-01-22,70602,116,8,47,0,3,481.339891
314,8288.155579,2011-01-25,33816,106,10,97,2,3,508.8
315,32654.8383,2011-02-23,0,153,7,75,0,2,1101.6
316,4719.450052,2011-02-18,89642,121,11,20,4,1,86.320022
317,3903.4747840000005,2011-01-03,60068,98,17,75,0,1,470.4
318,5457.259678,2011-01-09,50044,139,16,14,0,1,667.2
319,2725.356404,2011-01-03,36650,69,2,70,1,1,56.60333000000001
320,4433.97368,2011-02-21,50653,110,29,42,0,1,262.86517200000003
321,5332.462694,2011-02-22,68931,66,32,30,0,7,309.577946
322,2315.094985,2011-01-09,0,73,14,39,1,1,350.4
323,5411.953687,2011-02-07,0,73,1,22,0,5,365.364581
324,9587.33234,2011-02-26,39266,80,33,31,0,2,384.0
325,22103.5072,2011-01-30,0,102,35,48,0,2,489.6
326,9764.945308,2011-02-28,0,98,24,11,1,2,705.6
327,2567.151468,2011-02-20,40864,65,2,75,0,1,9.51528
328,2650.622781,2011-01-20,39035,68,15,65,0,1,244.56433399999997
329,11264.36334,2011-01-22,34923,98,23,82,0,2,639.105556
330,2168.523464,2011-01-06,0,63,1,56,0,1,453.6
331,8610.667489,2011-02-06,0,111,27,36,0,9,532.8
332,2834.646235,2011-02-02,24506,71,7,47,0,1,511.2
333,8930.139728,2011-02-23,0,82,25,63,0,2,554.522969
334,5536.386959,2011-01-07,52220,70,17,42,1,5,336.0
335,2840.8542899999998,2011-02-27,0,74,17,73,0,1,402.449823
336,8082.880956,2011-01-21,53554,67,6,5,0,2,327.020539
337,5254.734278,2011-02-04,34476,67,23,49,1,3,5.3953
338,5116.237577,2011-01-08,0,70,1,11,0,5,131.401291
339,3034.646997,2011-02-04,68205,76,35,14,0,1,99.38294300000001
340,8024.899920000001,2011-01-15,0,119,6,48,1,8,856.8
341,18211.14319,2011-02-07,53690,154,20,97,0,2,739.2
342,5121.563311999999,2011-02-19,0,72,2,22,0,5,518.4
343,2150.1785879999998,2011-02-09,0,61,28,31,0,1,292.8
344,5595.389905,2011-02-05,74454,71,25,29,0,3,340.8
345,7562.824036,2011-01-15,0,73,23,91,0,2,350.4
346,5385.853211,2011-02-06,29664,71,1,69,0,3,340.8
347,4718.5585009999995,2011-02-27,15680,64,20,29,0,8,260.87990299999996
348,9422.567923,2011-01-17,47272,79,17,17,3,2,64.546877
349,3605.860265,2011-01-07,21585,92,35,61,0,1,441.6
350,7762.590564,2011-01-03,23827,106,18,77,2,3,37.910623
351,23444.90045,2011-01-26,69906,74,34,32,2,2,202.860399
352,2558.178159,2011-01-07,0,72,7,77,0,1,345.6
353,5123.170886999999,2011-01-14,89879,63,17,20,0,3,94.03030799999999
354,2537.744494,2011-02-20,0,69,9,89,0,1,331.2
355,2969.593296,2011-01-01,46131,74,27,28,0,1,355.2
356,4363.124640999999,2011-01-10,54514,109,5,36,3,1,286.234931
357,5884.308607,2011-01-27,0,161,29,1,0,1,1159.2
358,5272.191556000001,2011-02-07,96668,66,2,95,0,3,316.8
359,5509.895664,2011-01-25,78879,69,9,67,1,4,466.57079100000004
360,16313.683490000001,2011-02-11,0,69,21,86,0,2,331.2
361,5678.050167,2011-01-19,0,76,8,44,0,3,364.8
362,12101.208840000001,2011-02-04,0,112,28,30,0,2,1252.406235
363,2453.570794,2011-02-09,29735,69,3,92,0,1,331.2
364,5075.662670000001,2011-02-20,23082,65,18,90,0,7,312.0
365,3214.979402,2011-02-04,53984,80,15,62,0,1,421.48445599999997
366,12275.34309,2011-01-08,52135,156,6,86,0,9,430.505942
367,2722.210707,2011-02-02,17576,71,29,70,0,1,398.502948
368,2457.440923,2011-02-07,29486,62,19,73,0,1,7.646763000000001
369,3554.845264,2011-01-10,58557,88,4,83,0,1,55.510526
370,4929.549699,2011-01-26,25632,63,27,52,0,7,351.270869
371,8036.45034,2011-02-01,0,112,7,42,0,9,806.4
372,4276.915328,2011-01-28,18768,68,19,53,3,3,647.454583
373,33473.349460000005,2011-01-11,33190,106,18,95,0,2,508.8
374,5960.581363,2011-02-03,47945,74,32,39,0,3,128.43823
375,44795.46942,2011-02-04,58778,126,6,62,0,2,302.033971
376,3832.1181060000004,2011-02-14,15192,100,1,7,0,1,480.0
377,6837.932623999999,2011-01-24,51859,171,0,21,0,1,1003.160633
378,5285.2681600000005,2011-02-23,23422,72,25,76,0,3,518.4
379,3096.511217,2011-02-12,21604,79,14,28,0,1,379.2
380,3589.7107149999997,2011-01-05,79298,90,22,2,0,1,244.362072
381,2582.408525,2011-02-14,76731,64,2,68,0,1,201.455005
382,2487.729726,2011-02-02,67282,62,29,27,0,1,297.6
383,13575.67599,2011-01-23,48534,115,29,79,1,2,552.0
384,4685.504250999999,2011-01-05,77678,116,32,81,0,1,741.4184849999999
385,28685.82785,2011-02-24,48412,104,15,23,0,2,707.430832
386,2764.032126,2011-01-10,33837,72,29,54,4,1,305.575785
387,6183.111464,2011-02-13,23712,85,2,20,0,3,376.126419
388,3873.647046,2011-01-20,28142,105,18,50,0,1,701.7082389999999
389,18929.3306,2011-02-05,72196,68,8,61,0,2,152.184244
390,5553.295758,2011-01-07,68197,69,1,81,0,3,176.819414
391,5011.2591840000005,2011-02-27,75248,63,13,71,0,5,104.454624
392,10442.446329999999,2011-01-08,0,98,9,50,0,2,941.7180539999999
393,2199.61781,2011-01-06,0,65,5,19,1,1,468.0
394,8709.845263,2011-02-03,41546,111,4,47,0,3,121.306839
395,7484.310483,2011-01-20,46998,96,13,98,0,6,460.8
396,2613.023132,2011-02-23,57099,67,20,37,0,1,67.859881
397,9080.639651000001,2011-01-26,33897,114,15,67,0,8,539.8430030000001
398,13770.976180000001,2011-02-01,59207,116,23,21,0,2,556.8
399,2876.822941,2011-02-14,40171,73,8,78,0,1,350.4
400,5548.031892,2011-01-13,67798,69,1,78,0,9,331.2
401,5097.526248,2011-01-24,21665,136,0,25,0,1,765.709629
402,24143.87556,2011-01-17,0,87,9,75,0,2,626.4
403,3538.0594560000004,2011-01-15,0,67,12,67,5,7,321.6
404,29091.239360000003,2011-02-18,34226,244,29,22,0,2,494.39502400000003
405,19834.20115,2011-01-06,65989,123,4,43,1,2,115.54508600000001
406,4731.366975,2011-01-14,30686,61,22,45,0,3,19.938981
407,35537.846,2011-02-06,0,113,15,6,0,2,799.926741
408,34611.37896,2011-01-14,20090,109,10,59,0,2,523.2
409,20216.30883,2011-01-24,0,183,6,16,0,2,878.4
410,13976.51925,2011-01-26,77094,176,25,29,0,5,444.47067599999997
411,5904.088162,2011-01-15,97413,73,21,80,0,6,268.81998500000003
412,5595.835040999999,2011-01-22,79189,69,6,97,0,4,331.2
413,2294.303629,2011-02-09,0,62,5,31,0,1,297.6
